,cm_cd,IncomePA,cm_occup,E2Channel,IsKarvy,KRA YN,age,months_since_last_login,months_since_last_trade,dp_holding,total_logins_one_year,total_trades_one_year
43452,10615207,<=1L,P,CAT,0,N,21.0,6.067678512173039,12.080122299519802,0.0,26.0,0.0
43457,11619812,5_10L,P,CAT,0,N,24.0,8.728924122965868,132.0,0.0,5.0,0.0
43463,10882245,<=1L,P,CAT,0,N,28.0,132.0,0.6137677542519315,31.0,0.0,1.0
43464,11049296,<=1L,S,CAT,0,Y,21.0,2.059382653941864,2.223657074361174,0.0,6.0,1.0
43467,10645836,5_10L,P,CAT,0,N,27.0,5.213451525992625,2.190802190277312,0.0,4.0,1.0
43489,10714988,<=1L,S,CAT,0,Y,22.0,132.0,3.8006915103865535,0.0,0.0,2.0
43504,10009934,<=1L,O,CAT,0,N,24.0,132.0,132.0,0.0,0.0,0.0
43529,12458096,5_10L,P,CAT,0,N,29.0,132.0,132.0,0.0,0.0,0.0
43549,10580580,5_10L,P,CAT,0,N,27.0,132.0,132.0,0.0,0.0,0.0
43589,11970528,<=1L,P,CAT,0,N,46.0,132.0,132.0,0.0,0.0,0.0
43624,10440946,<=1L,S,CAT,0,N,21.0,1.0408812473421387,1.0737361314260008,0.0,5.0,1.0
43633,10794880,<=1L,S,CAT,0,Y,19.0,3.997820814889727,3.603562205883382,0.0,16.0,1.0
43647,12350489,5_10L,P,CAT,0,Y,27.0,132.0,132.0,0.0,0.0,0.0
43670,111NARES,5_10L,P,others,0,Y,30.0,1.0080263632582769,3.012174292373864,0.0,56.0,5.0
43673,100NIDHI,<=1L,O,CAT,0,N,24.0,132.0,132.0,0.0,0.0,0.0
43721,11GOVIND,1_5L,O,CAT,0,N,23.0,132.0,132.0,0.0,0.0,0.0
43745,11112793,5_10L,S,CAT,0,N,22.0,3.143593828709313,132.0,0.0,3.0,0.0
43758,12061991,<=1L,ST,CAT,0,N,30.0,2.0922375380257257,4.030675698973589,1505.0,38.0,3.0
43861,10901612,5_10L,P,CAT,0,N,25.0,132.0,132.0,0.0,0.0,0.0
43891,10615033,5_10L,P,CAT,0,Y,23.0,12.145832067687524,132.0,0.0,0.0,0.0
43893,11174138,<=1L,S,CAT,0,N,24.0,4.293514771644486,132.0,0.0,5.0,0.0
43900,10615371,5_10L,P,CAT,0,Y,33.0,132.0,132.0,0.0,0.0,0.0
43918,105FE987,5_10L,P,Franchisee,0,Y,22.0,1.2380105518453113,3.57070732179952,0.0,167.0,11.0
43924,10940996,1_5L,S,CAT,0,N,40.0,0.7123324065035178,1.2051556677614492,0.0,5.0,1.0
43926,10650107,5_10L,P,CAT,0,Y,23.0,2.979319408290002,132.0,0.0,41.0,0.0
43943,10861318,5_10L,P,CAT,0,Y,30.0,132.0,132.0,0.0,0.0,0.0
43962,10805946,<=1L,P,CAT,0,N,26.0,132.0,132.0,0.0,0.0,0.0
44003,12093565,5_10L,P,CAT,0,N,27.0,4.556353844315383,1.9608180016902768,0.0,4.0,1.0
44016,10887936,<=1L,S,CAT,0,Y,22.0,2.815044987870692,3.537852437715657,0.0,78.0,1.0
44038,10301566,5_10L,P,CAT,0,Y,24.0,0.7451872905873799,4.98346733740559,0.0,436.0,9.0
44048,10531592,<=1L,S,CAT,0,Y,21.0,4.227805003476762,132.0,0.0,44.0,0.0
44067,10081989,1_5L,S,CAT,0,N,32.0,4.162095235309037,5.180596641908762,0.0,173.0,6.0
44069,10615022,<=1L,S,CAT,0,N,34.0,0.7123324065035178,3.242158480960899,0.0,646.0,15.0
44085,10697662,<=1L,P,CAT,0,N,27.0,132.0,132.0,0.0,0.0,0.0
44098,10343343,5_10L,P,CAT,0,N,28.0,0.6794775224196558,1.0408812473421387,0.0,1.0,1.0
44106,10478814,5_10L,P,CAT,0,N,22.0,132.0,132.0,0.0,0.0,0.0
44111,10054832,<=1L,S,CAT,0,N,45.0,132.0,3.143593828709313,0.0,0.0,1.0
44117,10436669,5_10L,S,CAT,0,N,20.0,1.99367288577414,0.9423165950905524,0.0,8.0,3.0
44130,10240549,<=1L,P,CAT,0,N,21.0,6.659066425682556,132.0,0.0,13.0,0.0
44142,10829265,5_10L,S,CAT,0,N,20.0,1.2380105518453113,1.2051556677614492,0.0,6.0,1.0
44146,11222792,5_10L,P,CAT,0,Y,34.0,132.0,0.6137677542519315,0.0,0.0,1.0
44154,12348317,<=1L,O,CAT,0,N,24.0,132.0,132.0,0.0,0.0,0.0
44181,12349245,1_5L,O,CAT,0,N,21.0,132.0,132.0,0.0,0.0,0.0
44187,10495666,<=1L,S,CAT,0,N,20.0,1.0080263632582769,1.53370450860007,0.0,8.0,1.0
44197,10293321,5_10L,P,CAT,0,N,27.0,132.0,1.6979789290193803,0.0,0.0,1.0
44205,10001OMK,1_5L,S,CAT,0,N,29.0,6.166243164424625,132.0,0.0,24.0,0.0
44221,10SNSP22,5_10L,P,Franchisee,0,Y,21.0,0.8437519428389662,0.8437519428389662,0.0,869.0,765.0
